year,m_ge_2.5,m_ge_3,m_ge_4,m_ge_4.5,m_ge_5,m_ge_5.5,m_ge_6,m_ge_7
1970,50,50,50,50,50,49,5,0
1971,76,76,76,76,76,70,12,1
1972,98,98,98,98,98,90,14,1
1973,248,248,248,248,176,43,5,0
1974,315,315,315,315,195,49,11,0
1975,333,333,333,333,215,60,13,1
1976,366,366,366,366,233,57,11,3
1977,437,437,437,437,312,95,10,0
1978,335,335,335,335,225,57,6,0
1979,429,429,429,429,243,71,16,1
1980,398,398,398,398,190,34,5,0
1981,352,352,352,352,163,33,4,0
1982,412,412,412,412,195,47,5,0
1983,643,643,643,643,320,66,22,1
1984,592,592,592,592,261,57,16,4
1985,584,584,584,584,285,58,24,2
1986,589,589,589,589,263,62,21,1
1987,527,527,527,527,221,53,20,1
1988,553,553,553,553,219,47,8,1
1989,668,668,668,668,258,69,19,1
1990,647,647,647,647,291,62,14,2
1991,694,694,694,694,296,50,15,2
1992,690,690,690,690,297,70,22,2
1993,636,636,636,636,267,46,15,0
1994,757,757,757,757,344,83,28,2
1995,666,666,666,666,212,64,25,1
1996,839,839,839,839,201,74,22,4
1997,577,577,577,577,140,39,10,1
1998,628,628,628,628,156,43,20,3
1999,587,587,587,587,178,51,11,1
2000,884,884,884,884,235,91,23,2
2001,694,694,694,694,215,55,20,3
2002,882,882,882,882,207,55,18,2
2003,828,828,828,828,191,70,16,1
2004,973,973,973,973,227,68,19,6
2005,1895,1895,1895,1895,357,104,30,3
2006,1264,1264,1264,1264,324,73,26,2
2007,1365,1365,1365,1365,425,115,36,5
2008,949,949,949,949,269,78,25,3
2009,1261,1261,1261,1261,410,106,34,5
2010,1488,1488,1477,858,238,64,21,5
2011,1373,1373,1366,809,213,56,18,0
2012,1476,1476,1471,890,212,48,16,1
2013,1570,1570,1562,795,147,31,12,1
2014,2353,2352,2345,830,192,33,10,1
2015,2100,2100,2081,839,185,43,13,2
2016,1921,1921,1904,681,177,45,14,0
2017,1781,1781,1777,778,196,38,8,1
2018,2110,2110,2105,970,241,61,17,2
2019,2380,2380,2376,1141,297,65,19,3
2020,1903,1903,1898,754,161,42,17,0
2021,2159,2159,2157,916,200,53,18,3
2022,2099,2099,2095,942,188,40,14,0
2023,2209,2209,2202,954,215,60,23,6
2024,1800,1800,1796,756,159,28,8,0
2025,1836,1836,1823,822,166,43,12,0
2026,988,986,979,454,123,30,9,1
